Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0603_1608Metric",87.500000,-72.000000,-90.000000,bottom
"C2","4.7u","C_0603_1608Metric",83.500000,-73.500000,180.000000,bottom
"C3","1u","C_0402_1005Metric",70.500000,-66.500000,-90.000000,bottom
"C4","2.2u","C_0603_1608Metric",77.500000,-63.500000,180.000000,bottom
"C5","100n","C_0402_1005Metric",76.000000,-60.500000,180.000000,bottom
"C6","10u","C_0603_1608Metric",51.500000,-56.600000,-90.000000,bottom
"C7","100n","C_0402_1005Metric",51.500000,-54.000000,-90.000000,bottom
"C8","1u","C_0402_1005Metric",51.500000,-48.800000,-90.000000,bottom
"C9","100n","C_0402_1005Metric",68.500000,-49.000000,-90.000000,bottom
"C10","1u","C_0402_1005Metric",68.500000,-51.400000,-90.000000,bottom
"C11","DNP","C_0402_1005Metric",82.500000,-48.900000,180.000000,bottom
"C12","10u","C_0603_1608Metric",42.500000,-57.500000,180.000000,bottom
"C13","1u","C_0402_1005Metric",45.500000,-57.500000,180.000000,bottom
"C14","1u","C_0402_1005Metric",42.000000,-64.500000,180.000000,bottom
"C15","1u/50V","C_0805_2012Metric",29.000000,-61.000000,180.000000,bottom
"C16","1u/50V","C_0805_2012Metric",43.000000,-61.000000,180.000000,bottom
"C17","1u/50V","C_0805_2012Metric",46.800000,-61.000000,180.000000,bottom
"C18","1u/25V","C_0603_1608Metric",24.500000,-64.500000,180.000000,bottom
"C19","1u/25V","C_0603_1608Metric",28.000000,-64.500000,180.000000,bottom
"C20","1u/25V","C_0603_1608Metric",31.500000,-64.500000,180.000000,bottom
"C21","1u/25V","C_0603_1608Metric",35.000000,-64.500000,180.000000,bottom
"D1","MBR0530","D_SOD-123",33.500000,-57.500000,180.000000,bottom
"D2","MBR0530","D_SOD-123",33.500000,-61.000000,180.000000,bottom
"D3","MBR0530","D_SOD-123",38.700000,-61.000000,180.000000,bottom
"D4","RED","LED_0603_1608Metric",86.500000,-81.000000,180.000000,bottom
"D5","GREEN","LED_0603_1608Metric",65.000000,-81.000000,180.000000,bottom
"J1","EPD FPC 24P 0.5mm","Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal",40.000000,-73.000000,180.000000,bottom
"J2","BATT JST-SH 1.0mm","JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal",10.000000,-58.000000,180.000000,bottom
"J3","USB-C 16P 沉板 (TYPE-C-31-M-14)","TYPE-C-31-M-14",75.000000,-81.300000,180.000000,bottom
"L1","68uH","L_Changjiang_FNR3015S",24.500000,-57.500000,180.000000,bottom
"Q1","AO3400A","SOT-23",29.000000,-57.500000,180.000000,bottom
"Q2","AO3401A","SOT-23",38.500000,-57.500000,180.000000,bottom
"R1","5.1k","R_0402_1005Metric",67.500000,-78.500000,-90.000000,bottom
"R2","5.1k","R_0402_1005Metric",83.000000,-78.500000,-90.000000,bottom
"R3","5.1k","R_0402_1005Metric",76.500000,-72.500000,180.000000,bottom
"R4","1k","R_0402_1005Metric",86.500000,-77.500000,-90.000000,bottom
"R5","1M","R_0402_1005Metric",70.000000,-60.500000,180.000000,bottom
"R6","1M","R_0402_1005Metric",73.000000,-60.500000,180.000000,bottom
"R7","10k","R_0402_1005Metric",51.500000,-51.400000,-90.000000,bottom
"R8","10k","R_0402_1005Metric",69.000000,-54.000000,-90.000000,bottom
"R9","1k","R_0402_1005Metric",65.000000,-78.000000,180.000000,bottom
"R10","10k","R_0402_1005Metric",69.000000,-56.800000,-90.000000,bottom
"R11","4.7k","R_0402_1005Metric",80.000000,-51.500000,-90.000000,bottom
"R12","4.7k","R_0402_1005Metric",82.000000,-51.500000,-90.000000,bottom
"R13","100k","R_0402_1005Metric",84.000000,-51.500000,-90.000000,bottom
"R14","2.2R","R_0402_1005Metric",24.500000,-61.000000,180.000000,bottom
"SW1","RESET","SW_SPST_PTS810",14.000000,-80.500000,180.000000,bottom
"SW2","BOOT/USER","SW_SPST_PTS810",22.500000,-80.500000,180.000000,bottom
"U1","ESP32-C3-MINI-1-N4","ESP32-C3-MINI-1",60.000000,-57.000000,0.000000,bottom
"U2","ST25DV64KC-IER6S3","SOIC-8_3.9x4.9mm_P1.27mm",74.000000,-51.500000,180.000000,bottom
"U3","TP4054 / MCP73831T-2ACI/OT","SOT-23-5",80.000000,-70.000000,180.000000,bottom
"U4","XC6220B331MR-G","SOT-23-5",74.000000,-66.500000,180.000000,bottom
